               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,             0.08428,           0.0090539,            0.020055,             0.71164,             0.25146,             0.25645,            0.087303,            0.091395,            0.016704,            0.019894,           0.0087378,           0.0087378,           0.0087378
                  53,             0.08569,           0.0099312,            0.018492,             0.87411,             0.18705,              0.2807,             0.10156,            0.093751,             0.01486,            0.022768,            0.008713,            0.008713,            0.008713
                  54,            0.086081,            0.010734,            0.018635,              0.8741,             0.25101,             0.31462,             0.12026,            0.085764,            0.013068,            0.021305,           0.0086882,           0.0086882,           0.0086882
                  55,            0.088427,           0.0092933,             0.01856,             0.83146,             0.24759,             0.27575,             0.11548,            0.089189,            0.012199,            0.020623,           0.0086635,           0.0086635,           0.0086635
                  56,            0.087155,           0.0090428,            0.014357,             0.80741,             0.23469,             0.25958,              0.1333,            0.097899,            0.012806,            0.019966,           0.0086388,           0.0086388,           0.0086388
                  57,             0.08649,           0.0092436,            0.014545,              0.5554,             0.20825,             0.20244,            0.059294,            0.099758,            0.011349,            0.020338,            0.008614,            0.008614,            0.008614
                  58,            0.086682,           0.0095264,            0.016582,             0.62007,             0.32993,             0.32329,             0.11939,            0.095519,            0.013015,            0.017923,           0.0085893,           0.0085893,           0.0085893
                  59,            0.084777,            0.010524,            0.015895,             0.39711,             0.32653,             0.26926,            0.094015,              0.0902,            0.013661,            0.021004,           0.0085645,           0.0085645,           0.0085645
                  60,            0.087372,           0.0090897,            0.018152,             0.67168,             0.14286,             0.18806,             0.06516,            0.094452,            0.014014,            0.022744,           0.0085398,           0.0085398,           0.0085398
                  61,            0.084076,           0.0091173,            0.015367,             0.74032,             0.24536,             0.29603,             0.10245,            0.090065,            0.013094,            0.021074,            0.008515,            0.008515,            0.008515
                  62,            0.085843,           0.0097154,             0.01371,             0.65909,             0.29082,             0.31564,             0.12707,            0.093078,            0.012251,            0.018827,           0.0084903,           0.0084903,           0.0084903
                  63,            0.088889,           0.0089106,            0.013979,             0.74818,             0.26244,             0.33861,            0.089167,            0.089189,            0.013061,            0.021436,           0.0084655,           0.0084655,           0.0084655
                  64,            0.082769,            0.009863,            0.016288,             0.83187,             0.24382,             0.28923,            0.067698,            0.096497,            0.013143,            0.025884,           0.0084408,           0.0084408,           0.0084408
                  65,            0.085229,           0.0086676,            0.018581,             0.88281,             0.21088,             0.25642,            0.063195,            0.098401,            0.014734,            0.028186,            0.008416,            0.008416,            0.008416
                  66,            0.086739,           0.0083226,            0.017143,             0.55485,             0.27041,             0.30335,             0.10983,            0.085887,            0.017262,             0.02639,           0.0083913,           0.0083913,           0.0083913
                  67,            0.082943,           0.0094529,            0.017082,             0.72366,             0.26486,             0.27719,             0.10206,             0.08568,            0.015057,            0.022767,           0.0083665,           0.0083665,           0.0083665
                  68,            0.087976,           0.0095323,            0.014841,             0.80966,             0.22665,              0.2893,            0.078062,            0.090295,            0.013539,            0.019637,           0.0083418,           0.0083418,           0.0083418
